gene_names	pvalue	corr_coef	fdr	fpkm>0_num	fpkm>0.1_num	fpkm>1_num	fpkm_median	fpkm_mean
C17orf49_TSS23573	0.000238068420615594	0.253988142076545	0.00658659511403856	208	208	207	10.9998	14.3675163732057
ACAP1_TSS17528	3.49556323197307e-10	0.420363540299382	1.37461679649944e-07	209	209	199	4.26146	7.29895793301435
CYB5D1_TSS36038	3.89765979321591e-05	-0.283127393057013	0.00170304413631439	205	205	198	1.78935	1.8398354354067
GUCY2D_TSS22929	0.00377320547429789	0.201455664987257	0.0428700103772742	89	6	0	0	0.015549629569378
CHD3_TSS13044,TSS18390	1.91692208604344e-07	0.354006372310723	2.33325930673125e-05	209	208	205	3.67107	4.55627856215311
VAMP2_TSS30844	0.00319059328933063	0.205011362841344	0.0386724375478513	209	209	209	16.5946	16.8066836842105
PER1_TSS6662	0.00347633772123721	0.203200149261621	0.0408053784049277	209	209	209	5.57066	7.31525693779904
CTC1_TSS23977	0.00344328295602567	0.203402636516101	0.0406530049140749	208	208	207	3.86204	3.99827137799043
TMEM220_TSS26887	0.00274089103270387	-0.208183430417552	0.0350650228663381	209	209	206	3.16375	3.22889562679426
HS3ST3B1_TSS7808	2.0020334515562e-05	0.293082146829322	0.00101940193337108	208	196	28	0.365773	0.529076080956938
ZNF624_TSS33188	0.00401701314709607	-0.200113265978677	0.0445133111033892	209	208	159	1.35409	1.37679586172249
PLD6_TSS13802	0.000110441665410314	0.266764152834995	0.00361672206495301	204	198	34	0.497621	0.65708346076555
MPRIP_TSS11077	0.000811087763062681	0.232119518592762	0.0153913988950595	209	209	209	6.09477	6.18710822966507
GID4_TSS17365	0.000734863018940014	-0.233955600876451	0.0143986873436766	207	207	207	2.82062	2.81605789473684
SLC5A10_TSS13359,TSS26480	0.00274939340281947	0.208119213134164	0.035141022768196	164	29	0	0.0238701	0.0445086978575985
EPN2_TSS32081	0.000764976472563525	-0.233210156839303	0.0147947844398817	208	207	204	2.84046	2.82186964162679
SLC47A2_TSS16553	0.00286990243421247	-0.20722787104831	0.0361727072532623	138	59	0	0.044568	0.0659418110047847
AKAP10_TSS35365	0.00139422605070165	-0.221777307512245	0.0223154740651126	209	209	207	7.63273	7.57615000956938
ALDH3A2_TSS22879	1.45288200385915e-05	-0.297743543073822	0.000802097557249326	209	209	209	47.798	49.3964373205742
C17orf51_TSS27818	8.67011203341752e-07	-0.335635659992204	7.97182495274048e-05	206	205	24	0.706387	0.719316548803828
USP22_TSS7140	0.00016187748841834	-0.260485190017688	0.00489095801591158	209	209	209	26.3066	25.9249602870813
ALDOC_TSS270	0.00137347534011778	0.222069866683372	0.0221103117261468	208	206	193	1.9908	2.39211617464115
