tracking_ID	pvalue (Hilar Lymphadenopathy)	corr_coef (Hilar Lymphadenopathy)	fdr (Hilar Lymphadenopathy)	pval_dir (Hilar Lymphadenopathy)	fpkm>0_num (Hilar Lymphadenopathy)	fpkm>0.1_num (Hilar Lymphadenopathy)	fpkm>1_num (Hilar Lymphadenopathy)	fpkm_median (Hilar Lymphadenopathy)	fpkm_mean (Hilar Lymphadenopathy)	pvalue (Bronchial Wall Thickening)	corr_coef (Bronchial Wall Thickening)	fdr (Bronchial Wall Thickening)	fpkm>0_num (Bronchial Wall Thickening)	fpkm>0.1_num (Bronchial Wall Thickening)	fpkm>1_num (Bronchial Wall Thickening)	fpkm_median (Bronchial Wall Thickening)	fpkm_mean (Bronchial Wall Thickening)
LAX1_TSS16296,TSS32641	6.83525218376199e-05	NA	0.0175587719939974	-6.83525218376199e-05	199	196	83	0.776706	1.25532114384236	3.03951813045342e-05	0.288253476565086	0.00786407552637918	205	202	86	0.779045	1.27709486220096
TRAF5_TSS34889,TSS35580,TSS8938	8.06609326153298e-05	NA	0.0187434008961859	-8.06609326153298e-05	201	201	189	2.10242	2.61991399507389	0.000125168103164149	0.265995081198811	0.0161483033856943	207	207	195	2.10825	2.6493866076555
TRIB2_TSS27688	0.000107503006090172	NA	0.0211387769790818	-0.000107503006090172	199	198	156	1.75512	2.52593899310345	0.000851818543669941	0.232321345119632	0.0467429838148191	205	204	160	1.76701	2.55545684497608
RASGRP3_TSS12780,TSS24643,TSS6969	7.90654666773556e-05	NA	0.0185412146214669	-7.90654666773556e-05	203	201	163	1.57884	1.77677130285714	1.52541827513477e-05	0.298450468766076	0.0055643611685874	209	207	169	1.57884	1.78048691138756
ZAP70_TSS22131,TSS35458	0.000169598941198738	NA	0.0277907196634165	-0.000169598941198738	199	199	165	2.76389	4.8788358226601	0.000598377262627004	0.23888157464055	0.0385339741590148	205	205	170	2.76916	4.99797503827751
IL18R1_TSS34462	6.0908307276987e-06	NA	0.00915810142533568	-6.0908307276987e-06	195	182	44	0.465426	0.723019426502463	5.05497691308107e-05	0.280470921745855	0.00950075477024009	200	187	48	0.466638	0.738374816172249
ARHGEF4_TSS18878,TSS33376	0.000179272772772608	NA	0.0278253938635781	-0.000179272772772608	151	47	0	0.0332764	0.0698316977832512	0.000799263528546105	0.233517762360647	0.0455010580248708	156	50	0	0.0338366	0.0724106758373206
KIF5C_TSS20975,TSS21364	3.99413356164035e-05	NA	0.0142598238778773	-3.99413356164035e-05	194	137	8	0.156507	0.258904121133005	0.000173787608013474	0.260547274248925	0.0194073045436149	200	141	8	0.157209	0.260358135837321
SLC40A1_TSS18329	0.000287442494585743	NA	0.0371076646672028	-0.000287442494585743	202	198	153	2.06438	3.79549850039409	2.26056033472747e-07	0.353692502648258	0.000612638734948525	208	204	159	2.12227	3.96547404583732
CD28_TSS30429	3.27906849906393e-05	NA	0.0133041698261227	-3.27906849906393e-05	198	193	62	0.673417	1.06539966600985	0.000363090699836757	0.247866718046149	0.0292774806893608	204	199	66	0.675958	1.10690685741627
