tracking_ID	pvalue (Lymphocyte)	corr_coef (Lymphocyte)	fdr (Lymphocyte)	fpkm>0_num (Lymphocyte)	fpkm>0.1_num (Lymphocyte)	fpkm>1_num (Lymphocyte)	fpkm_median (Lymphocyte)	fpkm_mean (Lymphocyte)	pvalue (Macrophage)	corr_coef (Macrophage)	fdr (Macrophage)	fpkm>0_num (Macrophage)	fpkm>0.1_num (Macrophage)	fpkm>1_num (Macrophage)	fpkm_median (Macrophage)	fpkm_mean (Macrophage)
POU3F1_TSS19213	0.003408450262163	0.203617924403395	0.040440940835648	162	61	2	0.0362766	0.0983867718660287	0.000120718906982206	-0.265316790707816	0.00522999318876638	162	61	2	0.0362766	0.0983867718660287
RIMS3_TSS9319	1.80912240090238e-06	0.326234333955087	0.000144964495878618	203	169	6	0.209124	0.28015598645933	1.83474652689008e-06	-0.326051481578711	0.000215921874539889	203	169	6	0.209124	0.28015598645933
HIVEP3_TSS15020,TSS31880,TSS9512	9.39831245608812e-07	0.334619963274094	8.45881213697424e-05	208	208	173	1.60145	1.69026039712919	0.000263203638504284	-0.252269362291245	0.00943583198290041	208	208	173	1.60145	1.69026039712919
SLC2A1_TSS35301	6.16129702297127e-07	0.339898016660637	5.98817160472124e-05	207	204	127	1.2311	1.51349179894737	3.52208923301627e-06	-0.31743895350849	0.000351519831150217	207	204	127	1.2311	1.51349179894737
ZSWIM5_TSS10582	0.00185679154984608	0.216114537471578	0.0270589787945358	168	52	1	0.0360752	0.0876857988995215	1.07144709027238e-06	-0.332961522542063	0.000139021619667271	168	52	1	0.0360752	0.0876857988995215
TTC22_TSS808	0.0002615886471961	0.252375103770356	0.00700887569285064	173	107	6	0.111503	0.207282880861244	0.000127916209215775	-0.264370333073634	0.00548601715396715	173	107	6	0.111503	0.207282880861244
PGM1_TSS16620,TSS1995,TSS32781	0.000290576639594968	-0.250563314548193	0.00744537191445921	209	209	209	23.6662	23.7354443062201	0.000365436786483684	0.246564649086631	0.0122423718208512	209	209	209	23.6662	23.7354443062201
IL23R_TSS32594	9.76504934455771e-05	0.268753012184965	0.00331479981801115	164	106	10	0.101894	0.237982161483254	7.27812737521318e-08	-0.365209205937955	2.48048285117099e-05	164	106	10	0.101894	0.237982161483254
IL12RB2_TSS14387	3.23538276415885e-07	0.347766771509893	3.50422113706205e-05	202	182	60	0.427339	0.851976265645933	1.01882492250537e-07	-0.361366673645018	2.95933907319997e-05	202	182	60	0.427339	0.851976265645933
PDE4B_TSS15460,TSS15932,TSS27165,TSS28364,TSS3070,TSS891	0.0002418165555716	0.253721417486161	0.00664511402908956	209	209	209	7.59199	8.94947110047847	4.35874782434712e-07	-0.344152755710559	7.14192007295749e-05	209	209	209	7.59199	8.94947110047847
LPAR3_TSS31752	0.00137248137980349	-0.222083981602888	0.0221103117261468	204	201	146	1.77051	2.30095476937799	0.00018460626715033	0.258291021120048	0.00714957696155999	204	201	146	1.77051	2.30095476937799
GBP1P1_TSS9429	0.00239445257922102	0.210967281050689	0.0321284001981461	209	207	118	1.12295	1.43654593397129	1.54191277465637e-05	-0.296884932807407	0.00107391913986353	209	207	118	1.12295	1.43654593397129
GBP5_TSS22297	8.6348691734163e-07	0.335686861635627	7.96808270547632e-05	209	209	209	22.3408	27.0769605741627	4.83733396270145e-08	-0.369809323359468	2.09835077021551e-05	209	209	209	22.3408	27.0769605741627
TGFBR3_TSS18765,TSS27510	5.99719267159318e-08	0.367398050691983	9.07066519991677e-06	203	159	9	0.210875	0.335963830382775	6.76330983021592e-06	-0.308546332745048	0.000578183821304847	203	159	9	0.210875	0.335963830382775
GFI1_TSS13114,TSS14018,TSS17395	5.64293306858678e-10	0.415807757411444	2.03153538262179e-07	203	199	90	0.875283	1.49110776315789	4.98478108474187e-07	-0.3425104282008	7.91403660292466e-05	203	199	90	0.875283	1.49110776315789
TMEM56_TSS28841,TSS30872	3.68847258061605e-08	-0.372823503052612	6.37034105629235e-06	207	196	56	0.669077	0.853043556937799	0.000776667877633505	0.232928011401	0.0219849475306645	207	196	56	0.669077	0.853043556937799
CDC14A_TSS9031	0.00034821458534878	0.247412193929346	0.00848495044432809	208	207	172	1.6327	1.84768783205742	0.000874487161787572	-0.230709701852101	0.0238811606222779	208	207	172	1.6327	1.84768783205742
VCAM1_TSS33181	0.00237402137096054	0.211142658781827	0.0319212836733943	182	143	29	0.225804	0.43603979138756	1.62893171765283e-05	-0.296089914236091	0.00111627677305426	182	143	29	0.225804	0.43603979138756
