tracking_ID	pvalue (Macrophage)	corr_coef (Macrophage)	fdr (Macrophage)	fpkm>0_num (Macrophage)	fpkm>0.1_num (Macrophage)	fpkm>1_num (Macrophage)	fpkm_median (Macrophage)	fpkm_mean (Macrophage)	pvalue (Bronchial Wall Thickening)	corr_coef (Bronchial Wall Thickening)	fdr (Bronchial Wall Thickening)	fpkm>0_num (Bronchial Wall Thickening)	fpkm>0.1_num (Bronchial Wall Thickening)	fpkm>1_num (Bronchial Wall Thickening)	fpkm_median (Bronchial Wall Thickening)	fpkm_mean (Bronchial Wall Thickening)
PYHIN1_TSS13031	1.84996246329313e-06	-0.325944050612606	0.000215921874539889	202	198	99	0.885633	1.41337003205742	4.87679893410051e-06	0.31451714000064	0.00345894444450888	202	198	99	0.885633	1.41337003205742
FCRL6_TSS1525,TSS35367	0.00106247937982004	-0.227022383253995	0.0273494818001812	206	204	147	1.38423	1.78043263875598	0.000603863754147563	0.238714272102505	0.0386272841026212	206	204	147	1.38423	1.78043263875598
SLAMF6_TSS3563	2.4189149127779e-06	-0.322433430235501	0.000258838414093012	208	208	197	2.78856	3.63012554066986	8.29447094461302e-05	0.272665319946071	0.0130070534855984	208	208	197	2.78856	3.63012554066986
SLAMF1_TSS19229	1.22469204076696e-08	-0.384773052928631	8.46063601460655e-06	206	205	132	1.45628	2.25817467703349	0.000205967441287035	0.257680281385417	0.021143509103365	206	205	132	1.45628	2.25817467703349
CD48_TSS29749	2.9965613377903e-09	-0.399367574593445	4.25528357529211e-06	209	209	209	19.966	26.9365433014354	2.07391671023352e-05	0.293955165516313	0.00646480305247305	209	209	209	19.966	26.9365433014354
CD244_TSS25286	1.79006896351366e-05	-0.29471840514687	0.00120410402043086	203	200	90	0.839825	1.19234838373206	4.2295874421405e-06	0.316458796841179	0.00324424953446904	203	200	90	0.839825	1.19234838373206
LY9_TSS34264	5.43636845612453e-07	-0.341444146820015	8.42175843072721e-05	207	202	131	1.42059	2.26430950574163	0.000514260847512314	0.241641589547701	0.0356937100382748	207	202	131	1.42059	2.26430950574163
SLAMF7_TSS33865	2.85114414099404e-08	-0.375657665373683	1.54725781857242e-05	208	208	193	4.72702	7.22473119617225	0.000535042460879289	0.240922876831822	0.0362154534069522	208	208	193	4.72702	7.22473119617225
CD84_TSS10719	3.67461222381291e-05	-0.28402318207586	0.00211546763632617	209	209	209	10.9982	12.0963051674641	3.81304528487314e-05	0.284812933308026	0.00832858924536602	209	209	209	10.9982	12.0963051674641
PVRL4_TSS17869	0.00012945959665245	-0.264173878150683	0.00552343313449371	201	137	2	0.147953	0.195467274401914	0.000937761223068622	0.230503957265278	0.0493212235038211	201	137	2	0.147953	0.195467274401914
HSPA7_TSS10980	0.00077215929628967	-0.233036349122182	0.0218815562887586	208	206	188	2.60873	3.76194343971292	3.58391418849328e-05	0.285757800882625	0.0079659504845284	208	206	188	2.60873	3.76194343971292
FCGR2B_TSS1648	0.00201412169275344	-0.214481040821719	0.0430757460108026	209	208	205	4.74621	5.98402158229665	1.35908918954357e-06	0.331475346164431	0.00231597858492821	209	208	205	4.74621	5.98402158229665
UCK2_TSS7806	0.000215997763850592	-0.255642903728657	0.00809548217270527	206	196	12	0.377638	0.451775816746411	3.27294037182565e-05	0.287135612641508	0.00789241781549392	206	196	12	0.377638	0.451775816746411
GPA33_TSS1559	0.000167179774338361	0.259948713537001	0.00665620282221628	209	209	209	40.1054	42.9696586602871	1.72417996800978e-05	-0.296666978005988	0.00595564380571595	209	209	209	40.1054	42.9696586602871
FASLG_TSS4455	9.09930515344313e-06	-0.304405466143507	0.000727857503161711	196	185	81	0.691387	1.19454288516746	7.94394964447302e-05	0.273355324675915	0.0126121302398991	196	185	81	0.691387	1.19454288516746
QSOX1_TSS3954	0.000129173917906091	0.264210075850547	0.0055214289558488	209	209	209	122.682	127.563468899522	5.17318394729905e-05	-0.280111738306365	0.00958840615995742	209	209	209	122.682	127.563468899522
RGL1_TSS21741,TSS9460	0.000318321684185818	-0.248980279531853	0.0110073182490773	207	206	102	0.978164	1.50499364880383	3.63672476858329e-06	0.318503481988992	0.00320545937275026	207	206	102	0.978164	1.50499364880383
NR5A2_TSS34731,TSS5566	0.000942925727551825	-0.229289723666115	0.0252642814695516	136	30	0	0.0149196	0.0481336749760766	2.32132371209004e-07	0.353376154074299	0.000612638734948525	136	30	0	0.0149196	0.0481336749760766
PTPN7_TSS11819,TSS26362	1.41162371237879e-09	-0.406889959189458	2.96257967764586e-06	209	208	184	3.07511	4.5467001062201	1.58913330975658e-05	0.297855936381721	0.0055643611685874	209	208	184	3.07511	4.5467001062201
CHIT1_TSS23928	0.000251139514064558	-0.253074315031523	0.00906691683475164	206	205	153	2.38222	21.1433327813397	0.00016229468073296	0.261692782213258	0.0192056219176629	206	205	153	2.38222	21.1433327813397
LAX1_TSS16296,TSS32641	6.22262209455214e-10	-0.414869077881183	2.27223490512639e-06	205	202	86	0.779045	1.27709486220096	3.03951813045342e-05	0.288253476565086	0.00786407552637918	205	202	86	0.779045	1.27709486220096
