tracking_ID	pvalue (Macrophage)	corr_coef (Macrophage)	fdr (Macrophage)	fpkm>0_num (Macrophage)	fpkm>0.1_num (Macrophage)	fpkm>1_num (Macrophage)	fpkm_median (Macrophage)	fpkm_mean (Macrophage)	pvalue (Hilar Lymphadenopathy)	corr_coef (Hilar Lymphadenopathy)	fdr (Hilar Lymphadenopathy)	pval_dir (Hilar Lymphadenopathy)	fpkm>0_num (Hilar Lymphadenopathy)	fpkm>0.1_num (Hilar Lymphadenopathy)	fpkm>1_num (Hilar Lymphadenopathy)	fpkm_median (Hilar Lymphadenopathy)	fpkm_mean (Hilar Lymphadenopathy)
CDC14A_TSS9031	0.000874487161787572	-0.230709701852101	0.0238811606222779	208	207	172	1.6327	1.84768783205742	7.90654666773556e-05	NA	0.0185412146214669	-7.90654666773556e-05	202	201	168	1.63106	1.83846896995074
VCAM1_TSS33181	1.62893171765283e-05	-0.296089914236091	0.00111627677305426	182	143	29	0.225804	0.43603979138756	0.000125507823548481	NA	0.0234168283045455	-0.000125507823548481	177	139	27	0.22404	0.426608116256158
KCNA2_TSS22796,TSS2982	1.22306473464233e-06	-0.331276921892792	0.000152501256986305	199	185	27	0.413888	0.527230886124402	9.35492750207843e-05	NA	0.0191297041504501	-9.35492750207843e-05	193	179	26	0.413888	0.524397045320197
RORC_TSS17590,TSS30208	1.65870600879403e-09	-0.405293716666977	3.02844173505602e-06	203	189	79	0.691258	1.31739192822967	8.90901627387267e-05	NA	0.0188559572873759	-8.90901627387267e-05	197	185	76	0.691258	1.29109206551724
ATP8B2_TSS17424,TSS2604	2.90553481051117e-08	-0.375450588886055	1.54725781857242e-05	208	207	147	1.77171	3.02949454641148	0.000144023098888567	NA	0.0257719679398522	-0.000144023098888567	202	201	143	1.75591	2.98778657241379
SH2D2A_TSS15501,TSS20285	1.16173556105445e-07	-0.35985333308341	3.05315404447583e-05	204	202	154	1.75065	2.99199701722488	0.000234090000834361	NA	0.0331902138646421	-0.000234090000834361	198	196	150	1.74019	2.95327428374384
SLAMF6_TSS3563	2.4189149127779e-06	-0.322433430235501	0.000258838414093012	208	208	197	2.78856	3.63012554066986	5.72575625621479e-05	NA	0.0157372102865706	-5.72575625621479e-05	202	202	191	2.78424	3.58289521182266
SLAMF1_TSS19229	1.22469204076696e-08	-0.384773052928631	8.46063601460655e-06	206	205	132	1.45628	2.25817467703349	1.44103811545934e-05	NA	0.0113954492392685	-1.44103811545934e-05	200	199	128	1.44828	2.22318589408867
ITLN1_TSS17387	3.65624198383961e-05	-0.28409922665317	0.00210964337130754	195	188	78	0.721861	0.952976846411483	0.000364288675618139	NA	0.0419440668354741	-0.000364288675618139	189	182	73	0.712799	0.921745999507389
LY9_TSS34264	5.43636845612453e-07	-0.341444146820015	8.42175843072721e-05	207	202	131	1.42059	2.26430950574163	0.000507604045686289	NA	0.0491472235294971	-0.000507604045686289	201	196	126	1.4132	2.22976234827586
SLAMF7_TSS33865	2.85114414099404e-08	-0.375657665373683	1.54725781857242e-05	208	208	193	4.72702	7.22473119617225	7.1523660597099e-05	NA	0.0179236891031612	-7.1523660597099e-05	202	202	187	4.59414	7.1301602955665
CD84_TSS10719	3.67461222381291e-05	-0.28402318207586	0.00211546763632617	209	209	209	10.9982	12.0963051674641	8.82274583916206e-05	NA	0.0188559572873759	-8.82274583916206e-05	203	203	203	10.9141	11.9698117241379
FASLG_TSS4455	9.09930515344313e-06	-0.304405466143507	0.000727857503161711	196	185	81	0.691387	1.19454288516746	6.58718170926128e-05	NA	0.0173582424402503	-6.58718170926128e-05	191	180	77	0.680145	1.18337840394089
TNFSF4_TSS1981,TSS29487	4.22107749551443e-05	-0.281910761358085	0.00234554264919227	196	174	12	0.264915	0.38012725215311	7.35518543967432e-05	NA	0.0179519129959173	-7.35518543967432e-05	190	169	11	0.264915	0.379128633004926
RGS16_TSS258	2.44513890012244e-05	-0.290133610536632	0.00156250488565074	204	199	123	1.31034	1.81642416842105	0.000264353544977278	NA	0.0353777013778231	-0.000264353544977278	198	193	119	1.31034	1.79354703054187
B3GALT2_TSS25289	4.92551332940537e-08	-0.36960741297859	2.09835077021551e-05	191	141	20	0.172294	0.426204885789474	9.31922934574387e-07	NA	0.00587255904482368	-9.31922934574387e-07	185	136	18	0.170077	0.421950105073892
KIF21B_TSS22875	4.32208787300288e-08	-0.371065029602625	2.00867069312412e-05	209	208	200	2.2737	2.81758580172249	0.000500849413285668	NA	0.0486776116083459	-0.000500849413285668	203	202	194	2.23147	2.79489567763547
PTPN7_TSS11819,TSS26362	1.41162371237879e-09	-0.406889959189458	2.96257967764586e-06	209	208	184	3.07511	4.5467001062201	8.99975270552739e-05	NA	0.0188559572873759	-8.99975270552739e-05	203	202	179	3.06809	4.48017197142857
LAX1_TSS16296,TSS32641	6.22262209455214e-10	-0.414869077881183	2.27223490512639e-06	205	202	86	0.779045	1.27709486220096	6.83525218376199e-05	NA	0.0175587719939974	-6.83525218376199e-05	199	196	83	0.776706	1.25532114384236
TRAF5_TSS34889,TSS35580,TSS8938	1.5857656827556e-07	-0.356234433223168	3.6569749868975e-05	207	207	195	2.10825	2.6493866076555	8.06609326153298e-05	NA	0.0187434008961859	-8.06609326153298e-05	201	201	189	2.10242	2.61991399507389
