tracking_ID	pvalue (Eosinophil)	corr_coef (Eosinophil)	fdr (Eosinophil)	fpkm>0_num (Eosinophil)	fpkm>0.1_num (Eosinophil)	fpkm>1_num (Eosinophil)	fpkm_median (Eosinophil)	fpkm_mean (Eosinophil)	pvalue (Bronchial Wall Thickening)	corr_coef (Bronchial Wall Thickening)	fdr (Bronchial Wall Thickening)	fpkm>0_num (Bronchial Wall Thickening)	fpkm>0.1_num (Bronchial Wall Thickening)	fpkm>1_num (Bronchial Wall Thickening)	fpkm_median (Bronchial Wall Thickening)	fpkm_mean (Bronchial Wall Thickening)
DENND5A_TSS12877	2.8521039318725e-05	-0.287840735844712	0.0202717872322641	209	209	209	60.6601	60.1269454545455	0.000230972319773599	-0.255727930247337	0.0225495233926763	209	209	209	60.6601	60.1269454545455
DGAT2_TSS13748	0.000135149039736097	-0.263468120255843	0.0388151079179144	208	207	203	4.8078	5.35869074832536	0.000419294576651015	-0.245312042085451	0.0319928020112734	208	207	203	4.8078	5.35869074832536
GALNT6_TSS20693	1.84734374100921e-06	-0.325962479725311	0.00559370712612746	209	209	209	17.9184	18.4286615789474	5.98479344861575e-05	-0.277835756614847	0.0104066194108889	209	209	209	17.9184	18.4286615789474
IRS2_TSS5397	0.000132371242203873	-0.263809152269863	0.0388151079179144	209	209	209	14.0603	14.2529357894737	0.000341480782672883	-0.248947866975549	0.0284974258771091	209	209	209	14.0603	14.2529357894737
HDC_TSS34170	0.00011770663055091	0.26572867683418	0.0367185185270669	170	109	14	0.113993	0.282436161004785	0.000511173270470215	0.241750655326003	0.0356937100382748	170	109	14	0.113993	0.282436161004785
GGA2_TSS21779	2.85506959963033e-05	-0.287825190225839	0.0202717872322641	209	209	209	82.3653	82.7998626794258	0.000107605332409345	-0.268466085843417	0.0151571870013963	209	209	209	82.3653	82.7998626794258
AMFR_TSS30832	1.29910050767249e-05	-0.299351295018773	0.0170390979014867	209	209	209	30.0196	29.8232066985646	0.000653552768640281	-0.237259918920156	0.0406458937207158	209	209	209	30.0196	29.8232066985646
CES1_TSS31413	0.000143660630028331	-0.262462513035015	0.0394850469263889	209	209	209	233.79	241.076084688995	0.000484710550824705	-0.242711262165164	0.0346080625408667	209	209	209	233.79	241.076084688995
ST3GAL2_TSS11591	1.56149918849339e-06	-0.328140923839389	0.00559370712612746	209	209	209	15.3721	15.6850083732057	0.00031664376715133	-0.250271888576469	0.0275925093226358	209	209	209	15.3721	15.6850083732057
SPIRE2_TSS12543	9.39240501939061e-05	-0.269378464037516	0.0320127596052776	207	207	206	5.59326	5.68016766028708	7.72343194611591e-05	-0.273804207015633	0.012473406035458	207	207	206	5.59326	5.68016766028708
PLD6_TSS13802	7.9992579898794e-05	0.271943348142559	0.0308559269731906	204	198	34	0.497621	0.65708346076555	3.42684606858084e-05	0.286438978957566	0.00789902562535361	204	198	34	0.497621	0.65708346076555
LIMD2_TSS20325	8.71668340294645e-05	0.27057441128303	0.031829592066102	209	208	181	2.42225	3.99351186889952	0.000181480121972519	0.259819430293766	0.0199090703765646	209	208	181	2.42225	3.99351186889952
RAB37_TSS25713,TSS35887,TSS6121	9.51828852549234e-05	0.269164617971511	0.0320127596052776	208	205	123	1.23438	1.73791939473684	0.000449833005906753	0.244054346732775	0.0330407513332831	208	205	123	1.23438	1.73791939473684
C20orf202_TSS19400	0.000176505559523247	-0.259042567090222	0.0446050345747593	207	201	142	1.5361	1.7288195861244	7.66830525135792e-06	-0.308252782370468	0.0040835323027075	207	201	142	1.5361	1.7288195861244
FHL1_TSS10004,TSS15569,TSS18174,TSS32008,TSS33805,TSS765,TSS7962	2.1569878007171e-05	-0.291986558077827	0.0183782550580433	209	209	209	82.498	85.7244406698565	1.328828839459e-07	-0.359957836540303	0.000566103232756858	209	209	209	82.498	85.7244406698565
