tracking_ID	pvalue (Lymphocyte)	corr_coef (Lymphocyte)	fdr (Lymphocyte)	fpkm>0_num (Lymphocyte)	fpkm>0.1_num (Lymphocyte)	fpkm>1_num (Lymphocyte)	fpkm_median (Lymphocyte)	fpkm_mean (Lymphocyte)	pvalue (Hilar Lymphadenopathy)	corr_coef (Hilar Lymphadenopathy)	fdr (Hilar Lymphadenopathy)	pval_dir (Hilar Lymphadenopathy)	fpkm>0_num (Hilar Lymphadenopathy)	fpkm>0.1_num (Hilar Lymphadenopathy)	fpkm>1_num (Hilar Lymphadenopathy)	fpkm_median (Hilar Lymphadenopathy)	fpkm_mean (Hilar Lymphadenopathy)
TRAF1_TSS10088,TSS10913,TSS12784	2.35946917479739e-08	0.377723913897477	4.60384668526689e-06	209	208	208	3.45725	4.27023429473684	0.000422212297504084	NA	0.0449673689020912	-0.000422212297504084	203	202	202	3.44242	4.21243683546798
FAM102A_TSS27745,TSS28229	2.96132129109835e-13	0.48078713349988	1.13760554235486e-09	208	208	207	4.33932	6.13919118181818	5.22367986234826e-05	NA	0.0154862157264818	-5.22367986234826e-05	202	202	201	4.33509	6.01787077339901
DBH-AS1_TSS15307	0.00385037555519088	0.20102251195497	0.0433756939472164	171	121	21	0.167591	0.371366221052632	0.000228328372602018	NA	0.0326050364920681	-0.000228328372602018	166	117	20	0.165523	0.364034429064039
IL15RA_TSS18224,TSS18694	2.21749166827673e-06	0.323576490918028	0.000173044999457744	207	207	205	4.67136	5.50811010526316	8.82269435161969e-05	NA	0.0188559572873759	-8.82269435161969e-05	201	201	199	4.67136	5.4816037044335
PRKCQ_TSS12645	2.1224885044819e-10	0.42503820295021	9.68802297554674e-08	209	207	122	1.2443	1.73623622511962	3.71697665104166e-05	NA	0.0139720059084229	-3.71697665104166e-05	203	201	118	1.24271	1.71418337463054
ZEB1_TSS23011,TSS4728	8.95524811931034e-06	0.304629803508366	0.000552910862748048	198	165	18	0.252361	0.400887854976077	8.55236394444117e-05	NA	0.0188559572873759	-8.55236394444117e-05	192	160	16	0.252127	0.391821967438424
SPOCK2_TSS25443,TSS27340	2.13830510882871e-13	0.483302164846898	1.13760554235486e-09	209	208	197	5.26395	8.61235243301435	4.71483040175405e-05	NA	0.014697046329175	-4.71483040175405e-05	203	202	191	5.23378	8.43481472167488
ANKRD22_TSS21907	0.00253332793169159	0.209810001474445	0.0334664662650097	200	186	74	0.572189	0.990218796650718	5.59272586689178e-06	NA	0.00915810142533568	-5.59272586689178e-06	194	180	71	0.571633	0.963141130541872
ANO9_TSS22755	9.18463645555633e-10	0.411102696970375	3.04894146026591e-07	201	192	69	0.658907	1.07398842200957	2.33810564618259e-05	NA	0.0123729780967011	-2.33810564618259e-05	195	187	66	0.653561	1.05649706896552
CD5_TSS26111	3.56044142984972e-13	0.479354877659663	1.13760554235486e-09	207	207	206	4.53083	6.59470154066986	1.41000425780527e-05	NA	0.0113954492392685	-1.41000425780527e-05	201	201	200	4.51058	6.46168666009852
