tracking_ID	pvalue (DLCO)	corr_coef (DLCO)	fdr (DLCO)	fpkm>0_num (DLCO)	fpkm>0.1_num (DLCO)	fpkm>1_num (DLCO)	fpkm_median (DLCO)	fpkm_mean (DLCO)	pvalue (FEV1)	corr_coef (FEV1)	fdr (FEV1)	fpkm>0_num (FEV1)	fpkm>0.1_num (FEV1)	fpkm>1_num (FEV1)	fpkm_median (FEV1)	fpkm_mean (FEV1)
DDX3X_TSS19025,TSS23823	8.38557171287031e-07	-0.341658714636782	0.000892574229070771	209	209	209	53.3757	55.8813286602871	2.19813497996224e-09	-0.40248685227716	2.80965613138773e-05	209	209	209	53.3757	55.8813286602871
KDM5C_TSS25329	2.02406960874572e-08	-0.385596444912626	2.72141485394832e-05	209	209	209	13.4051	13.2426683253589	5.8742763688377e-06	-0.310491568822296	0.0050056667030989	209	209	209	13.4051	13.2426683253589
SMC1A_TSS2103	2.93534473161046e-05	-0.292287707802953	0.0241891343592648	209	209	209	8.94447	9.13164301435407	1.40039820991499e-06	-0.32954308816291	0.00144958986699069	209	209	209	8.94447	9.13164301435407
RPS4X_TSS23601	1.36255200867129e-09	-0.413813467483469	2.67751950873206e-06	209	209	209	498.094	502.179277511962	9.3932195933423e-09	-0.387578132122778	4.00213776140338e-05	209	209	209	498.094	502.179277511962
TSIX_TSS16481	1.65625539842531e-08	-0.387787071723251	2.35059446712072e-05	187	0	0	0.00257387	0.00722574003572445	3.48527925389658e-05	-0.284824730832805	0.0202494724651391	187	0	0	0.00257387	0.00722574003572445
XIST_TSS26269	4.42536921562628e-10	-0.424840039982859	9.42087349853242e-07	188	122	117	11.0616	10.4128018795971	5.50895203375954e-09	-0.39314203430739	2.81661699582058e-05	188	122	117	11.0616	10.4128018795971
RPS4Y1_TSS13858	2.47934413622225e-13	0.489608106625031	6.33373253039335e-09	128	109	100	0.2296	27.7543122277512	4.51561319659393e-10	0.417936298526584	1.15437135757727e-05	128	109	100	0.2296	27.7543122277512
ZFY_TSS12744,TSS35370	1.70371082548054e-10	0.433896889345644	4.35229967477259e-07	145	95	93	0.0169038	1.21688394866029	1.18653763193982e-07	0.359609057817843	0.000168514711238386	145	95	93	0.0169038	1.21688394866029
LINC00278_TSS31338	3.84825327870111e-12	0.467435718979867	3.95274709846355e-08	95	94	63	0	0.817187094258373	2.92461997159027e-08	0.375378811576599	7.35482710789676e-05	95	94	63	0	0.817187094258373
PRKY_TSS9055	1.13189687122865e-11	0.458255598198953	5.89869817397646e-08	201	100	90	0.0637497	1.0116384445933	3.56056961764855e-08	0.373213563110241	7.35482710789676e-05	201	100	90	0.0637497	1.0116384445933
TTTY15_TSS8327	1.15452481288195e-11	0.458084588028673	5.89869817397646e-08	128	95	23	0.00961993	0.377564908181818	2.31972534217199e-08	0.377908654141092	7.35482710789676e-05	128	95	23	0.00961993	0.377564908181818
USP9Y_TSS21505	1.41661654732693e-10	0.435617336110021	4.02098736866819e-07	156	98	93	0.0121863	1.29791239784689	8.62352436897279e-08	0.363277792841786	0.00014696785131228	156	98	93	0.0121863	1.29791239784689
DDX3Y_TSS13388,TSS29787,TSS31084	2.84401340386974e-09	0.406375986459214	5.18951188680402e-06	202	137	96	0.162097	6.01407567933014	5.39512862805502e-06	0.311659375537682	0.0047558989050896	202	137	96	0.162097	6.01407567933014
TMSB4Y_TSS24428	3.15521940117203e-07	0.353844881403321	0.000366378340101549	207	183	35	0.400779	0.530061436842105	1.41760861660019e-06	0.329386146581392	0.00144958986699069	207	183	35	0.400779	0.530061436842105
NLGN4Y_TSS10714,TSS21586,TSS22064,TSS27039,TSS36193	3.36205942257288e-09	0.404658911266785	5.72581133393646e-06	99	58	1	0	0.102293099330144	2.09636902945702e-06	0.324312500937478	0.00206121453342459	99	58	1	0	0.102293099330144
TXLNGY_TSS26995	2.19831074730048e-10	0.43150464239852	5.105276940958e-07	123	102	95	0.0609882	2.8640899538756	3.44082415199418e-08	0.3735911697013	7.35482710789676e-05	123	102	95	0.0609882	2.8640899538756
TTTY14_TSS33631,TSS6044	8.70686554625008e-11	0.44010952329538	2.78031984055631e-07	99	90	39	0	0.541839060287081	2.46951395019967e-08	0.377227619198374	7.35482710789676e-05	99	90	39	0	0.541839060287081
BCORP1_TSS15103	7.3844377892469e-09	0.396451876510381	1.17901779852563e-05	90	47	3	0	0.0860588280382775	6.05160359841006e-07	0.34012041616353	0.000762213511871306	90	47	3	0	0.0860588280382775
TTTY10_TSS23657	1.10304341850158e-07	0.366401937236571	0.000134182605566864	51	20	1	0	0.0296848822966507	7.31441945810714e-06	0.30745908107174	0.00603180061377584	51	20	1	0	0.0296848822966507
EIF1AY_TSS28363	4.64191704978887e-12	0.465859702886657	3.95274709846355e-08	105	98	95	0.0242544	3.14247865023923	3.74013270234149e-08	0.372669637580007	7.35482710789676e-05	105	98	95	0.0242544	3.14247865023923
KDM5D_TSS276	3.19708469759565e-11	0.449154124933892	1.36121209474631e-07	139	102	97	0.0341604	4.32308692172249	5.32402297331423e-09	0.393494570605836	2.81661699582058e-05	139	102	97	0.0341604	4.32308692172249
UTY_TSS10258	4.67115433796208e-11	0.445762339271245	1.70470441025113e-07	142	97	96	0.0182842	1.94158542181818	6.48468197446674e-08	0.36651635053181	0.000118410292853763	142	97	96	0.0182842	1.94158542181818
